Step,AgentID,Wealth,Position,Tax Revenue
29,7,25.316041757266028,"(9, 40)",
29,8,25.70778362215467,"(7, 41)",
29,9,25.895154996942242,"(11, 42)",
30,0,25.772394441046934,"(38, 17)",
30,1,26.00563949724802,"(39, 15)",
30,2,23.968475442328963,"(36, 9)",
30,3,26.00563949724802,"(8, 34)",
30,4,25.772394441046934,"(30, 12)",
30,5,25.90161607883147,"(29, 13)",
30,6,25.90161607883147,"(29, 15)",
30,7,25.484437581539424,"(7, 37)",
30,8,25.8370052599392,"(7, 43)",
30,9,26.00563949724802,"(12, 43)",
31,0,25.895154996942242,"(35, 15)",
31,1,26.105075547523217,"(36, 16)",
31,2,24.271627898096067,"(37, 10)",
31,3,26.105075547523217,"(11, 37)",
31,4,25.895154996942242,"(32, 13)",
31,5,26.011454470948323,"(31, 10)",
31,6,26.011454470948323,"(30, 18)",
31,7,25.635993823385483,"(6, 37)",
31,8,25.95330473394528,"(8, 40)",
31,9,26.105075547523217,"(12, 44)",
32,0,26.00563949724802,"(34, 18)",
32,1,26.194567992770896,"(34, 14)",
32,2,24.54446510828646,"(39, 11)",
32,3,26.194567992770896,"(14, 34)",
32,4,26.00563949724802,"(32, 15)",
32,5,26.110309023853493,"(30, 11)",
32,6,26.110309023853493,"(30, 16)",
32,7,25.772394441046934,"(6, 38)",
32,8,26.057974260550754,"(8, 42)",
32,9,26.194567992770896,"(13, 41)",
33,0,26.105075547523217,"(36, 17)",
33,1,26.275111193493807,"(33, 15)",
33,2,24.790018597457813,"(37, 11)",
33,3,26.275111193493807,"(11, 34)",
33,4,26.105075547523217,"(34, 16)",
33,5,26.199278121468144,"(31, 11)",
33,6,26.199278121468144,"(32, 17)",
33,7,25.895154996942242,"(9, 41)",
33,8,26.15217683449568,"(10, 40)",
33,9,26.275111193493807,"(13, 40)",
34,0,26.194567992770896,"(36, 18)",
34,1,26.347600074144427,"(30, 15)",
34,2,25.011016737712033,"(39, 13)",
34,3,26.347600074144427,"(8, 36)",
34,4,26.194567992770896,"(35, 16)",
34,5,26.27935030932133,"(34, 10)",
34,6,26.27935030932133,"(34, 20)",
34,7,26.00563949724802,"(11, 39)",
34,8,26.23695915104611,"(12, 40)",
34,9,26.347600074144427,"(14, 41)",
35,0,26.275111193493807,"(37, 15)",
35,1,26.412840066729984,"(33, 14)",
35,2,25.20991506394083,"(38, 11)",
35,3,26.412840066729984,"(8, 34)",
35,4,26.275111193493807,"(33, 17)",
35,5,26.351415278389197,"(32, 12)",
35,6,26.351415278389197,"(31, 17)",
35,7,26.105075547523217,"(10, 38)",
35,8,26.313263235941502,"(13, 37)",
35,9,26.412840066729984,"(11, 42)",
36,0,26.347600074144427,"(39, 18)",
36,1,26.471556060056987,"(34, 12)",
36,2,25.388923557546747,"(35, 9)",
36,3,26.471556060056987,"(7, 36)",
36,4,26.347600074144427,"(32, 18)",
36,5,26.41627375055028,"(32, 14)",
36,6,26.41627375055028,"(34, 17)",
36,7,26.194567992770896,"(9, 38)",
36,8,26.381936912347353,"(14, 38)",
36,9,26.471556060056987,"(9, 42)",
37,0,26.412840066729984,"(37, 17)",
37,1,26.52440045405129,"(35, 10)",
37,2,25.550031201792073,"(34, 11)",
37,3,26.52440045405129,"(8, 38)",
37,4,26.412840066729984,"(35, 20)",
37,5,26.47464637549525,"(33, 11)",
37,6,26.47464637549525,"(34, 18)",
37,7,26.275111193493807,"(10, 40)",
37,8,26.44374322111262,"(12, 35)",
37,9,26.52440045405129,"(10, 42)",
38,0,26.471556060056987,"(40, 15)",
38,1,26.57196040864616,"(32, 13)",
38,2,25.695028081612868,"(32, 11)",
38,3,26.57196040864616,"(9, 37)",
38,4,26.471556060056987,"(35, 19)",
38,5,26.527181737945725,"(35, 11)",
38,6,26.527181737945725,"(37, 18)",
38,7,26.347600074144427,"(8, 41)",
38,8,26.499368899001357,"(12, 33)",
38,9,26.57196040864616,"(11, 44)",
39,0,26.52440045405129,"(38, 17)",
39,1,26.614764367781543,"(32, 10)",
39,2,25.825525273451582,"(30, 13)",
39,3,26.614764367781543,"(8, 37)",
39,4,26.52440045405129,"(36, 17)",
39,5,26.574463564151152,"(34, 9)",
39,6,26.574463564151152,"(36, 19)",
39,7,26.412840066729984,"(8, 43)",
39,8,26.54943200910122,"(13, 35)",
39,9,26.614764367781543,"(10, 41)",
40,0,26.57196040864616,"(36, 18)",
40,1,26.65328793100339,"(29, 13)",
40,2,25.942972746106424,"(31, 15)",
40,3,26.65328793100339,"(7, 34)",
40,4,26.57196040864616,"(35, 16)",
40,5,26.617017207736037,"(31, 10)",
40,6,26.617017207736037,"(33, 18)",
40,7,26.471556060056987,"(5, 40)",
40,8,26.594488808191098,"(14, 37)",
40,9,26.65328793100339,"(7, 42)",
41,0,26.614764367781543,"(38, 18)",
41,1,26.687959137903054,"(29, 15)",
41,2,26.04867547149578,"(29, 14)",
41,3,26.687959137903054,"(9, 35)",
41,4,26.614764367781543,"(33, 16)",
41,5,26.655315486962433,"(34, 11)",
41,6,26.655315486962433,"(30, 16)",
41,7,26.52440045405129,"(6, 41)",
41,8,26.635039927371988,"(13, 40)",
41,9,26.687959137903054,"(7, 40)",
42,0,26.65328793100339,"(40, 16)",
42,1,26.719163224112748,"(32, 13)",
42,2,26.143807924346202,"(31, 16)",
42,3,26.719163224112748,"(10, 38)",
42,4,26.65328793100339,"(34, 19)",
42,5,26.68978393826619,"(33, 9)",
42,6,26.68978393826619,"(33, 13)",
42,7,26.57196040864616,"(6, 38)",
42,8,26.67153593463479,"(10, 37)",
42,9,26.719163224112748,"(9, 39)",
43,0,26.687959137903054,"(38, 15)",
43,1,26.747246901701473,"(35, 15)",
43,2,26.22942713191158,"(32, 17)",
43,3,26.747246901701473,"(7, 37)",
43,4,26.687959137903054,"(36, 20)",
43,5,26.72080554443957,"(35, 9)",
43,6,26.72080554443957,"(36, 11)",
43,7,26.614764367781543,"(8, 36)",
43,8,26.70438234117131,"(7, 39)",
43,9,26.747246901701473,"(12, 38)",
44,0,26.719163224112748,"(40, 15)",
44,1,26.772522211531328,"(34, 16)",
44,2,26.306484418720423,"(32, 16)",
44,3,26.772522211531328,"(5, 38)",
44,4,26.719163224112748,"(34, 20)",
44,5,26.748724989995615,"(35, 12)",
44,6,26.748724989995615,"(35, 10)",
44,7,26.65328793100339,"(9, 38)",
44,8,26.73394410705418,"(10, 39)",
44,9,26.772522211531328,"(11, 36)",
45,0,26.747246901701473,"(38, 13)",
45,1,26.795269990378195,"(36, 19)",
45,2,26.375835976848382,"(32, 18)",
45,3,26.795269990378195,"(6, 40)",
45,4,26.747246901701473,"(36, 17)",
45,5,26.773852490996056,"(34, 13)",
45,6,26.773852490996056,"(33, 12)",
45,7,26.687959137903054,"(11, 40)",
45,8,26.760549696348765,"(11, 39)",
45,9,26.795269990378195,"(11, 33)",
46,0,26.772522211531328,"(37, 13)",
46,1,26.815742991340375,"(35, 16)",
46,2,26.438252379163544,"(33, 18)",
46,3,26.815742991340375,"(6, 38)",
46,4,26.772522211531328,"(37, 14)",
46,5,26.79646724189645,"(35, 13)",
46,6,26.79646724189645,"(36, 15)",
46,7,26.719163224112748,"(11, 42)",
46,8,26.784494726713888,"(8, 37)",
46,9,26.815742991340375,"(8, 35)",
47,0,26.795269990378195,"(38, 15)",
47,1,26.834168692206337,"(35, 17)",
47,2,26.49442714124719,"(31, 18)",
47,3,26.834168692206337,"(7, 35)",
47,4,26.795269990378195,"(36, 14)",
47,5,26.816820517706805,"(34, 15)",
47,6,26.816820517706805,"(33, 15)",
47,7,26.747246901701473,"(11, 41)",
47,8,26.8060452540425,"(5, 37)",
47,9,26.834168692206337,"(8, 38)",
48,0,26.815742991340375,"(39, 14)",
48,1,26.850751822985703,"(33, 19)",
48,2,26.544984427122472,"(29, 15)",
48,3,26.850751822985703,"(9, 36)",
48,4,26.815742991340375,"(37, 12)",
48,5,26.835138465936126,"(32, 13)",
48,6,26.835138465936126,"(34, 17)",
48,7,26.772522211531328,"(12, 39)",
48,8,26.82544072863825,"(7, 37)",
48,9,26.850751822985703,"(9, 39)",
49,0,26.834168692206337,"(40, 15)",
49,1,26.865676640687134,"(36, 16)",
49,2,26.590485984410225,"(32, 15)",
49,3,26.865676640687134,"(7, 36)",
49,4,26.834168692206337,"(40, 13)",
49,5,26.851624619342513,"(34, 16)",
49,6,26.851624619342513,"(34, 20)",
49,7,26.795269990378195,"(14, 42)",
49,8,26.842896655774425,"(7, 38)",
49,9,26.865676640687134,"(7, 41)",
50,0,26.850751822985703,"(37, 17)",
50,1,26.879108976618422,"(37, 19)",
50,2,26.631437385969203,"(31, 15)",
50,3,26.879108976618422,"(9, 38)",
50,4,26.850751822985703,"(38, 12)",
50,5,26.86646215740826,"(31, 13)",
50,6,26.86646215740826,"(36, 18)",
50,7,26.815742991340375,"(13, 42)",
50,8,26.858606990196982,"(6, 35)",
50,9,26.879108976618422,"(8, 43)",
51,0,26.865676640687134,"(40, 14)",
51,1,26.89119807895658,"(35, 17)",
51,2,26.668293647372284,"(30, 17)",
51,3,26.89119807895658,"(11, 41)",
51,4,26.865676640687134,"(38, 15)",
51,5,26.879815941667434,"(30, 13)",
51,6,26.879815941667434,"(38, 17)",
51,7,26.834168692206337,"(12, 43)",
51,8,26.872746291177286,"(8, 36)",
51,9,26.89119807895658,"(7, 40)",
52,0,26.879108976618422,"(39, 13)",
52,1,26.902078271060923,"(38, 14)",
52,2,26.701464282635055,"(31, 17)",
52,3,26.902078271060923,"(13, 39)",
52,4,26.879108976618422,"(36, 13)",
52,5,26.89183434750069,"(33, 13)",
52,6,26.89183434750069,"(36, 17)",
52,7,26.850751822985703,"(11, 40)",
52,8,26.885471662059558,"(7, 37)",
52,9,26.902078271060923,"(9, 41)",
53,0,26.89119807895658,"(38, 16)",
53,1,26.911870443954832,"(35, 15)",
53,2,26.73131785437155,"(34, 15)",
53,3,26.911870443954832,"(14, 36)",
53,4,26.89119807895658,"(37, 12)",
53,5,26.902650912750623,"(31, 16)",
53,6,26.902650912750623,"(35, 19)",
53,7,26.865676640687134,"(9, 39)",
53,8,26.896924495853604,"(9, 37)",
53,9,26.911870443954832,"(7, 43)",
54,0,26.902078271060923,"(36, 16)",
54,1,26.92068339955935,"(33, 14)",
54,2,26.758186068934396,"(36, 14)",
54,3,26.92068339955935,"(14, 37)",
54,4,26.902078271060923,"(35, 11)",
54,5,26.91238582147556,"(31, 14)",
54,6,26.91238582147556,"(36, 20)",
54,7,26.879108976618422,"(12, 38)",
54,8,26.907232046268245,"(10, 34)",
54,9,26.92068339955935,"(8, 42)",
55,0,26.911870443954832,"(38, 17)",
55,1,26.928615059603416,"(34, 14)",
