,Wealth,Position,Tax Revenue
"(11, '8')",17.434062000000004,"(6, 38)",
"(11, '9')",18.390655800000005,"(10, 38)",
"(12, '0')",20.3751096381,"(38, 17)",
"(12, '1')",6.0,"(30, 28)",
"(12, '2')",18.8689527,"(12, 42)",
"(12, '3')",14.607000000000001,"(13, 41)",
"(12, '4')",18.390655800000005,"(36, 20)",
"(12, '5')",20.3751096381,"(12, 36)",
"(12, '6')",15.780690000000002,"(32, 19)",
"(12, '7')",20.413851687,"(37, 16)",
"(12, '8')",18.390655800000005,"(8, 39)",
"(12, '9')",19.251590220000004,"(11, 36)",
"(13, '0')",21.03759867429,"(39, 18)",
"(13, '1')",8.0,"(33, 25)",
"(13, '2')",19.68205743,"(13, 39)",
"(13, '3')",15.8463,"(11, 39)",
"(13, '4')",19.251590220000004,"(33, 19)",
"(13, '5')",21.03759867429,"(13, 38)",
"(13, '6')",16.902621,"(29, 16)",
"(13, '7')",21.0724665183,"(37, 13)",
"(13, '8')",19.251590220000004,"(10, 40)",
"(13, '9')",20.026431198000004,"(9, 38)",
"(14, '0')",21.633838806861,"(36, 15)",
"(14, '1')",10.0,"(30, 23)",
"(14, '2')",20.413851687,"(14, 37)",
"(14, '3')",16.96167,"(14, 40)",
"(14, '4')",20.026431198000004,"(31, 18)",
"(14, '5')",21.633838806861,"(12, 38)",
"(14, '6')",17.9123589,"(31, 16)",
"(14, '7')",21.66521986647,"(36, 11)",
"(14, '8')",20.026431198000004,"(10, 43)",
"(14, '9')",20.723788078200005,"(9, 39)",
"(15, '0')",22.1704549261749,"(34, 12)",
"(15, '1')",11.700000000000001,"(33, 20)",
"(15, '2')",21.0724665183,"(11, 35)",
"(15, '3')",17.965503000000002,"(16, 40)",
"(15, '4')",20.723788078200005,"(30, 17)",
"(15, '5')",22.1704549261749,"(12, 40)",
"(15, '6')",18.82112301,"(30, 13)",
"(15, '7')",22.198697879823,"(35, 14)",
"(15, '8')",20.723788078200005,"(7, 42)",
"(15, '9')",21.351409270380007,"(10, 39)",
"(16, '0')",22.65340943355741,"(37, 14)",
"(16, '1')",13.23,"(36, 17)",
"(16, '2')",21.66521986647,"(11, 36)",
"(16, '3')",18.8689527,"(15, 40)",
"(16, '4')",21.351409270380007,"(32, 14)",
"(16, '5')",22.65340943355741,"(13, 41)",
"(16, '6')",19.639010709,"(32, 13)",
"(16, '7')",22.678828091840703,"(38, 11)",
"(16, '8')",21.351409270380007,"(6, 39)",
"(16, '9')",21.916268343342008,"(8, 40)",
"(17, '0')",23.08806849020167,"(35, 13)",
"(17, '1')",14.607000000000001,"(36, 14)",
"(17, '2')",22.198697879823,"(9, 35)",
"(17, '3')",19.68205743,"(16, 37)",
"(17, '4')",21.916268343342008,"(29, 15)",
"(17, '5')",23.08806849020167,"(10, 41)",
"(17, '6')",20.3751096381,"(30, 16)",
"(17, '7')",23.110945282656633,"(39, 14)",
"(17, '8')",21.916268343342008,"(5, 38)",
"(17, '9')",22.424641509007806,"(10, 42)",
"(18, '0')",23.479261641181505,"(36, 16)",
"(18, '1')",15.8463,"(38, 13)",
"(18, '2')",22.678828091840703,"(8, 37)",
"(18, '3')",20.413851687,"(16, 39)",
"(18, '4')",22.424641509007806,"(31, 17)",
"(18, '5')",23.479261641181505,"(13, 42)",
"(18, '6')",21.03759867429,"(30, 18)",
"(18, '7')",23.49985075439097,"(38, 15)",
"(18, '8')",22.424641509007806,"(7, 39)",
"(18, '9')",22.882177358107025,"(9, 39)",
"(19, '0')",23.831335477063355,"(38, 17)",
"(19, '1')",16.96167,"(35, 10)",
"(19, '2')",23.110945282656633,"(10, 40)",
"(19, '3')",21.0724665183,"(16, 40)",
"(19, '4')",22.882177358107025,"(31, 16)",
"(19, '5')",23.831335477063355,"(12, 39)",
"(19, '6')",21.633838806861,"(31, 15)",
"(19, '7')",23.849865678951872,"(38, 14)",
"(19, '8')",22.882177358107025,"(9, 41)",
"(19, '9')",23.293959622296324,"(11, 39)",
"(20, '0')",24.148201929357022,"(37, 16)",
"(20, '1')",17.965503000000002,"(37, 10)",
"(20, '2')",23.49985075439097,"(11, 40)",
"(20, '3')",21.66521986647,"(15, 38)",
"(20, '4')",23.293959622296324,"(33, 18)",
"(20, '5')",24.148201929357022,"(9, 38)",
"(20, '6')",22.1704549261749,"(32, 12)",
"(20, '7')",24.164879111056685,"(40, 14)",
"(20, '8')",23.293959622296324,"(8, 43)",
"(20, '9')",23.66456366006669,"(13, 40)",
"(21, '0')",24.43338173642132,"(37, 18)",
"(21, '1')",18.8689527,"(37, 13)",
"(21, '2')",23.849865678951872,"(10, 43)",
"(21, '3')",22.198697879823,"(15, 39)",
"(21, '4')",23.66456366006669,"(30, 15)",
"(21, '5')",24.43338173642132,"(6, 40)",
"(21, '6')",22.65340943355741,"(32, 14)",
"(21, '7')",24.44839119995102,"(38, 12)",
"(21, '8')",23.66456366006669,"(11, 41)",
"(21, '9')",23.998107294060024,"(14, 39)",
"(22, '0')",24.690043562779188,"(35, 16)",
"(22, '1')",19.68205743,"(36, 14)",
"(22, '2')",24.164879111056685,"(13, 43)",
"(22, '3')",22.678828091840703,"(13, 38)",
"(22, '4')",23.998107294060024,"(32, 15)",
"(22, '5')",24.690043562779188,"(9, 43)",
"(22, '6')",23.08806849020167,"(31, 12)",
"(22, '7')",24.703552079955916,"(36, 9)",
"(22, '8')",23.998107294060024,"(12, 42)",
"(22, '9')",24.29829656465402,"(14, 42)",
"(23, '0')",24.92103920650127,"(33, 14)",
"(23, '1')",20.413851687,"(37, 14)",
"(23, '2')",24.44839119995102,"(16, 40)",
"(23, '3')",23.110945282656633,"(10, 36)",
"(23, '4')",24.29829656465402,"(30, 16)",
"(23, '5')",24.92103920650127,"(9, 41)",
"(23, '6')",23.479261641181505,"(30, 13)",
"(23, '7')",24.933196871960323,"(39, 12)",
"(23, '8')",24.29829656465402,"(14, 40)",
"(23, '9')",24.56846690818862,"(12, 39)",
"(24, '0')",25.128935285851142,"(36, 16)",
"(24, '1')",21.0724665183,"(36, 15)",
"(24, '2')",24.703552079955916,"(13, 42)",
"(24, '3')",23.49985075439097,"(12, 36)",
"(24, '4')",24.56846690818862,"(29, 14)",
"(24, '5')",25.128935285851142,"(6, 41)",
"(24, '6')",23.831335477063355,"(30, 14)",
"(24, '7')",25.13987718476429,"(37, 12)",
"(24, '8')",24.56846690818862,"(12, 38)",
"(24, '9')",24.811620217369757,"(11, 36)",
"(25, '0')",25.316041757266028,"(34, 16)",
"(25, '1')",21.66521986647,"(34, 13)",
"(25, '2')",24.933196871960323,"(12, 40)",
"(25, '3')",23.849865678951872,"(9, 33)",
"(25, '4')",24.811620217369757,"(31, 15)",
"(25, '5')",25.316041757266028,"(9, 44)",
"(25, '6')",24.148201929357022,"(32, 11)",
"(25, '7')",25.32588946628786,"(34, 12)",
"(25, '8')",24.811620217369757,"(13, 40)",
"(25, '9')",25.030458195632782,"(12, 33)",
"(26, '0')",25.484437581539424,"(33, 16)",
"(26, '1')",22.198697879823,"(36, 12)",
"(26, '2')",25.13987718476429,"(9, 37)",
"(26, '3')",24.164879111056685,"(10, 34)",
"(26, '4')",25.030458195632782,"(32, 13)",
"(26, '5')",25.484437581539424,"(6, 42)",
"(26, '6')",24.43338173642132,"(35, 11)",
"(26, '7')",25.493300519659076,"(37, 15)",
"(26, '8')",25.030458195632782,"(12, 42)",
"(26, '9')",25.227412376069505,"(10, 33)",
"(27, '0')",25.635993823385483,"(32, 16)",
"(27, '1')",22.678828091840703,"(33, 12)",
"(27, '2')",25.32588946628786,"(7, 34)",
"(27, '3')",24.44839119995102,"(9, 35)",
"(27, '4')",25.227412376069505,"(33, 11)",
"(27, '5')",25.635993823385483,"(8, 39)",
"(27, '6')",24.690043562779188,"(33, 13)",
"(27, '7')",25.64397046769317,"(38, 18)",
"(27, '8')",25.227412376069505,"(14, 43)",
"(27, '9')",25.404671138462554,"(13, 35)",
"(28, '0')",25.772394441046934,"(29, 14)",
"(28, '1')",23.110945282656633,"(34, 11)",
"(28, '2')",25.493300519659076,"(7, 35)",
"(28, '3')",24.703552079955916,"(6, 37)",
"(28, '4')",25.404671138462554,"(36, 13)",
"(28, '5')",25.772394441046934,"(10, 37)",
"(28, '6')",24.92103920650127,"(35, 14)",
"(28, '7')",25.779573420923853,"(39, 15)",
"(28, '8')",25.404671138462554,"(14, 42)",
"(28, '9')",25.5642040246163,"(11, 36)",
"(29, '0')",25.895154996942242,"(31, 12)",
"(29, '1')",23.49985075439097,"(37, 13)",
"(29, '2')",25.64397046769317,"(7, 37)",
"(29, '3')",24.933196871960323,"(7, 38)",
"(29, '4')",25.5642040246163,"(38, 15)",
"(29, '5')",25.895154996942242,"(8, 36)",
"(29, '6')",25.128935285851142,"(37, 14)",
"(29, '7')",25.90161607883147,"(37, 12)",
"(29, '8')",25.5642040246163,"(11, 44)",
"(29, '9')",25.70778362215467,"(8, 34)",
"(30, '0')",26.00563949724802,"(30, 14)",
"(30, '1')",23.849865678951872,"(34, 10)",
"(30, '2')",25.779573420923853,"(5, 37)",
"(30, '3')",25.13987718476429,"(6, 39)",
"(30, '4')",25.70778362215467,"(36, 17)",
"(30, '5')",26.00563949724802,"(8, 35)",
"(30, '6')",25.316041757266028,"(39, 13)",
"(30, '7')",26.011454470948323,"(39, 14)",
"(30, '8')",25.70778362215467,"(9, 43)",
"(30, '9')",25.8370052599392,"(11, 33)",
"(31, '0')",26.105075547523217,"(32, 12)",
"(31, '1')",24.164879111056685,"(35, 11)",
"(31, '2')",25.90161607883147,"(8, 38)",
"(31, '3')",25.32588946628786,"(8, 37)",
"(31, '4')",25.8370052599392,"(33, 16)",
"(31, '5')",26.105075547523217,"(11, 34)",
"(31, '6')",25.484437581539424,"(39, 11)",
"(31, '7')",26.110309023853493,"(40, 16)",
"(31, '8')",25.8370052599392,"(9, 42)",
"(31, '9')",25.95330473394528,"(10, 34)",
"(32, '0')",26.194567992770896,"(32, 14)",
"(32, '1')",24.44839119995102,"(32, 10)",
"(32, '2')",26.011454470948323,"(10, 35)",
"(32, '3')",25.493300519659076,"(7, 40)",
"(32, '4')",25.95330473394528,"(35, 16)",
"(32, '5')",26.194567992770896,"(14, 34)",
"(32, '6')",25.635993823385483,"(40, 14)",
"(32, '7')",26.199278121468144,"(38, 18)",
"(32, '8')",25.95330473394528,"(10, 41)",
"(32, '9')",26.057974260550754,"(12, 36)",
"(33, '0')",26.275111193493807,"(30, 17)",
"(33, '1')",24.703552079955916,"(34, 13)",
"(33, '2')",26.110309023853493,"(13, 37)",
"(33, '3')",25.64397046769317,"(10, 38)",
"(33, '4')",26.057974260550754,"(37, 18)",
"(33, '5')",26.275111193493807,"(12, 37)",
"(33, '6')",25.772394441046934,"(38, 13)",
"(33, '7')",26.27935030932133,"(37, 16)",
"(33, '8')",26.057974260550754,"(8, 40)",
"(33, '9')",26.15217683449568,"(14, 36)",
"(34, '0')",26.347600074144427,"(31, 18)",
"(34, '1')",24.933196871960323,"(37, 10)",
"(34, '2')",26.199278121468144,"(14, 39)",
"(34, '3')",25.779573420923853,"(8, 41)",
"(34, '4')",26.15217683449568,"(34, 18)",
"(34, '5')",26.347600074144427,"(11, 35)",
"(34, '6')",25.895154996942242,"(39, 16)",
"(34, '7')",26.351415278389197,"(35, 18)",
"(34, '8')",26.15217683449568,"(9, 43)",
"(34, '9')",26.23695915104611,"(14, 38)",
"(35, '0')",26.412840066729984,"(33, 19)",
"(35, '1')",25.13987718476429,"(34, 12)",
"(35, '2')",26.27935030932133,"(16, 40)",
"(35, '3')",25.90161607883147,"(8, 39)",
"(35, '4')",26.23695915104611,"(37, 19)",
"(35, '5')",26.412840066729984,"(11, 34)",
"(35, '6')",26.00563949724802,"(39, 17)",
"(35, '7')",26.41627375055028,"(34, 20)",
"(35, '8')",26.23695915104611,"(10, 44)",
"(35, '9')",26.313263235941502,"(14, 40)",
"(36, '0')",26.471556060056987,"(32, 17)",
"(36, '1')",25.32588946628786,"(35, 12)",
"(36, '2')",26.351415278389197,"(13, 40)",
"(36, '3')",26.011454470948323,"(8, 38)",
"(36, '4')",26.313263235941502,"(38, 17)",
"(36, '5')",26.471556060056987,"(11, 36)",
"(36, '6')",26.105075547523217,"(36, 14)",
"(36, '7')",26.47464637549525,"(34, 17)",
"(36, '8')",26.313263235941502,"(7, 42)",
"(36, '9')",26.381936912347353,"(13, 39)",
